Rank,ShirtNumber,Name,Team,Spikes,Faults,Shots,Total attempts,Success %
214,28,Kirill Klets,RUS,5,1,4,10,0
215,29,Kirill Ursov,RUS,6,0,7,13,0
216,1,Aleksandar Okolic,SRB,57,7,28,92,0
217,3,Milan Katic,SRB,39,17,43,99,0
218,4,Nemanja Petric,SRB,22,5,21,48,0
219,7,Petar Krsmanovic,SRB,73,8,32,113,0
220,8,Marko Ivovic,SRB,19,5,15,39,0
221,9,Nikola Jovovic,SRB,1,0,6,7,0
222,10,Miran Kujundžić,SRB,73,18,54,145,0
223,12,Dusan Petkovic,SRB,103,35,79,217,0
224,13,Stevan Simic,SRB,38,8,13,59,0
225,15,Nemanja Masulovic,SRB,6,0,3,9,0
226,16,Drazen Luburic,SRB,74,26,44,144,0
227,20,Srecko Lisinac,SRB,35,8,13,56,0
228,21,Vuk Todorovic,SRB,2,0,6,8,0
229,22,Andrija Vilimanovic,SRB,2,0,2,4,0
230,23,Bozidar Vucicevic,SRB,94,50,50,194,0
231,24,David Mehic,SRB,24,16,20,60,0
232,27,Stefan Kovacevic,SRB,3,0,4,7,0
233,28,Danilo Pavlovic,SRB,0,0,1,1,0
234,1,Matthew Anderson,USA,68,25,40,133,0
235,2,Aaron Russell,USA,17,8,15,40,0
236,3,Taylor Sander,USA,122,30,70,222,0
237,4,Jeffrey Jendryk Ii,USA,49,8,25,82,0
238,5,Kyle Ensing,USA,35,12,36,83,0
239,6,Mitchell Stahl,USA,25,6,23,54,0
240,7,Kawika Shoji,USA,5,1,3,9,0
241,8,Torey Defalco,USA,76,31,53,160,0
242,9,Jake Langlois,USA,19,2,19,40,0
243,11,Micah Christenson,USA,8,6,7,21,0
244,12,Maxwell Holt,USA,42,12,32,86,0
245,13,Benjamin Patch,USA,141,42,73,256,0
246,14,Micah Ma'a,USA,27,11,24,62,0
247,16,Joshua Tuaniga,USA,3,1,3,7,0
248,17,Thomas Jaeschke,USA,26,10,18,54,0
249,19,Taylor Averill,USA,18,4,7,29,0
250,20,David Smith,USA,68,11,41,120,0
251,25,Kyle Russell,USA,27,14,25,66,0
252,30,George Huhmann,USA,20,4,7,31,0
